Data	Mundo	Transação	Alterar	Novos pontos Premium	Mais informações
 jun 09, 01:42 	Mundo 73	 Transferir 	 4 	 788 	Troca Premium: Argila vendido (1768)
 jun 08, 23:37 	Mundo 73	 Transferir 	 3 	 784 	Troca Premium: Argila vendido (1004)
 jun 08, 23:17 	Mundo 73	 Transferir 	 3 	 781 	Troca Premium: Argila vendido (1543)
 jun 08, 23:17 	Mundo 73	 Transferir 	 2 	 778 	Troca Premium: Ferro vendido (928)
 jun 08, 23:17 	Mundo 73	 Transferir 	 6 	 776 	Troca Premium: Madeira vendido (3162)
 jun 08, 23:17 	Mundo 73	 Transferir 	 4 	 770 	Troca Premium: Argila vendido (2022)
 jun 08, 23:17 	Mundo 73	 Transferir 	 6 	 766 	Troca Premium: Ferro vendido (2741)
 jun 08, 23:17 	Mundo 73	 Transferir 	 6 	 760 	Troca Premium: Argila vendido (2963)
 jun 08, 22:22 	Mundo 73	 Transferir 	 12 	 754 	Troca Premium: Madeira vendido (6894)
 jun 08, 22:22 	Mundo 73	 Transferir 	 10 	 742 	Troca Premium: Argila vendido (5674)
 jun 08, 22:22 	Mundo 73	 Transferir 	 14 	 732 	Troca Premium: Ferro vendido (7613)
 jun 08, 22:22 	Mundo 73	 Transferir 	 5 	 718 	Troca Premium: Argila vendido (2715)
 jun 08, 22:21 	Mundo 73	 Transferir 	 9 	 713 	Troca Premium: Madeira vendido (4842)
 jun 08, 22:21 	Mundo 73	 Transferir 	 11 	 704 	Troca Premium: Ferro vendido (5602)
 jun 08, 22:20 	Mundo 73	 Transferir 	 2 	 693 	Troca Premium: Ferro vendido (987)
 jun 08, 22:20 	Mundo 73	 Transferir 	 17 	 691 	Troca Premium: Madeira vendido (8987)
 jun 08, 22:06 	Mundo 73	 Transferir 	 3 	 674 	Troca Premium: Ferro vendido (1623)
 jun 08, 22:06 	Mundo 73	 Transferir 	 3 	 671 	Troca Premium: Madeira vendido (1592)
 jun 08, 22:06 	Mundo 73	 Transferir 	 9 	 668 	Troca Premium: Argila vendido (4802)
 jun 08, 22:00 	Mundo 73	 Transferir 	 2 	 659 	Troca Premium: Madeira vendido (960)
 jun 08, 22:00 	Mundo 73	 Transferir 	 3 	 657 	Troca Premium: Argila vendido (1499)
 jun 08, 21:59 	Mundo 73	 Transferir 	 4 	 654 	Troca Premium: Ferro vendido (1919)
 jun 08, 21:59 	Mundo 73	 Transferir 	 15 	 650 	Troca Premium: Madeira vendido (6938)
 jun 08, 19:06 	Mundo 73	 Transferir 	 2 	 635 	Troca Premium: Madeira vendido (969)
 jun 08, 19:06 	Mundo 73	 Transferir 	 4 	 633 	Troca Premium: Ferro vendido (1967)
 jun 08, 19:06 	Mundo 73	 Transferir 	 8 	 629 	Troca Premium: Ferro vendido (3831)
 jun 08, 19:05 	Mundo 73	 Transferir 	 6 	 621 	Troca Premium: Ferro vendido (2790)
 jun 08, 18:26 	Mundo 73	 Transferir 	 5 	 615 	Troca Premium: Ferro vendido (2108)
 jun 08, 18:26 	Mundo 73	 Transferir 	 3 	 610 	Troca Premium: Argila vendido (1491)
 jun 08, 18:12 	Mundo 73	 Transferir 	 15 	 607 	Troca Premium: Argila vendido (9309)
 jun 08, 18:11 	Mundo 73	 Transferir 	 4 	 592 	Troca Premium: Argila vendido (2324)
 jun 08, 18:11 	Mundo 73	 Transferir 	 19 	 588 	Troca Premium: Madeira vendido (10443)
 jun 08, 18:11 	Mundo 73	 Transferir 	 17 	 569 	Troca Premium: Ferro vendido (9305)
 jun 08, 18:11 	Mundo 73	 Transferir 	 19 	 552 	Troca Premium: Argila vendido (10326)
 jun 08, 17:18 	Mundo 73	 Transferir 	 18 	 533 	Troca Premium: Argila vendido (8476)
 jun 08, 14:19 	Mundo 73	 Transferir 	 7 	 515 	Troca Premium: Argila vendido (2259)
 jun 08, 14:19 	Mundo 73	 Transferir 	 8 	 508 	Troca Premium: Madeira vendido (3422)
 jun 08, 14:10 	Mundo 73	 Transferir 	 10 	 500 	Troca Premium: Ferro vendido (3323)
 jun 08, 14:10 	Mundo 73	 Transferir 	 26 	 490 	Troca Premium: Argila vendido (10112)
 jun 08, 14:10 	Mundo 73	 Transferir 	 30 	 464 	Troca Premium: Ferro vendido (9212)
 jun 08, 14:09 	Mundo 73	 Transferir 	 54 	 434 	Troca Premium: Madeira vendido (20061)
 jun 07, 17:29 	Mundo 73	 Transferir 	 19 	 380 	Troca Premium: Ferro vendido (5466)
 jun 07, 17:29 	Mundo 73	 Transferir 	 11 	 361 	Troca Premium: Argila vendido (3287)
 jun 07, 17:28 	Mundo 73	 Transferir 	 11 	 350 	Troca Premium: Madeira vendido (3159)
 jun 07, 17:28 	Mundo 73	 Transferir 	 29 	 339 	Troca Premium: Argila vendido (8047)
 jun 06, 22:12 	Mundo 73	 Transferir 	 21 	 310 	Troca Premium: Ferro vendido (6301)
 jun 06, 22:12 	Mundo 73	 Transferir 	 21 	 289 	Troca Premium: Madeira vendido (6176)
 jun 06, 15:38 	Mundo 73	 Transferir 	 8 	 268 	Troca Premium: Ferro vendido (2133)
 jun 06, 15:38 	Mundo 73	 Transferir 	 7 	 260 	Troca Premium: Argila vendido (2031)
 jun 06, 15:38 	Mundo 73	 Transferir 	 8 	 253 	Troca Premium: Madeira vendido (2131)
 jun 06, 15:38 	Mundo 73	 Transferir 	 11 	 245 	Troca Premium: Argila vendido (3017)
 jun 06, 15:37 	Mundo 73	 Transferir 	 36 	 234 	Troca Premium: Ferro vendido (9093)
 jun 06, 15:37 	Mundo 73	 Transferir 	 36 	 198 	Troca Premium: Madeira vendido (9034)
 jun 03, 19:47 	Mundo 73	 Transferir 	 17 	 162 	Troca Premium: Ferro vendido (5658)
 jun 03, 17:51 	Mundo 73	 Transferir 	 15 	 145 	Troca Premium: Madeira vendido (4083)
 jun 03, 13:26 	Mundo 73	 Utilizados 	 -40 	 130 	+20% na produção de ferro 7
 jun 03, 13:26 	Mundo 73	 Utilizados 	 -40 	 170 	+20% na produção de argila 7
 jun 03, 13:26 	Mundo 73	 Utilizados 	 -40 	 210 	+20% na produção de madeira 7
 jun 02, 16:16 	Mundo 73	 Transferir 	 8 	 250 	Troca Premium: Ferro vendido (2129)
 jun 02, 10:52 	Mundo 73	 Transferir 	 14 	 242 	Troca Premium: Ferro vendido (5176)
 jun 02, 10:52 	Mundo 73	 Transferir 	 15 	 228 	Troca Premium: Ferro vendido (5327)
 jun 01, 13:43 	Mundo 73	 Transferir 	 11 	 213 	Troca Premium: Madeira vendido (3886)
 jun 01, 11:35 	Mundo 73	 Transferir 	 23 	 202 	Troca Premium: Madeira vendido (8114)
 jun 01, 08:48 	Mundo 73	 Utilizados 	 -50 	 179 	Nobres adicionais
 jun 01, 08:48 	Mundo 73	 Utilizados 	 -50 	 229 	Nobres adicionais
 mai 31, 22:10 	Mundo 73	 Utilizados 	 -30 	 279 	Reduzir para metade o custo de construção - - Academia (Nível 1)
 mai 31, 19:59 	Mundo 73	 Transferir 	 28 	 309 	Troca Premium: Ferro vendido (5167)
 mai 30, 22:52 	Mundo 73	 Utilizados 	 -10 	 281 	Redução do tempo de construção - pt73 - Ferreiro (Nível 20)
 mai 30, 22:52 	Mundo 73	 Utilizados 	 -30 	 291 	Reduzir para metade o custo de construção - - Ferreiro (Nível 20)
